@relation 'ISBSG10_952Instances-weka.filters.unsupervised.attribute.Remove-R9,29-weka.filters.unsupervised.attribute.Reorder-R1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,4-weka.filters.unsupervised.attribute.Remove-R2,4,7,9,12,14-15,18,20-24,26-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R3'

@attribute FunctionalSize numeric
@attribute ValueAdjustmentFactor numeric
@attribute ProjectElapsedTime numeric
@attribute DevelopmentType {Enhancement,New_Development}
@attribute BusinessAreaType {Banking,Telecommunications}
@attribute ClientServer {Yes,No}
@attribute DevelopmentPlatform {MF,PC,Multi,MR}
@attribute LanguageType {3GL,4GL}
@attribute FirstOS {Unix,Mainframe,Windows}
@attribute MaxTeamSize numeric
@attribute NormalisedWorkEffortLevel1 numeric

@data
89,1.07,?,Enhancement,?,?,?,3GL,?,?,4884
121,1.06,3,Enhancement,Telecommunications,?,?,3GL,?,4,1293
263,1,3,Enhancement,?,?,?,3GL,?,3,1311
107,1.18,?,Enhancement,?,?,?,3GL,?,?,3160
70,1.09,?,Enhancement,?,?,MF,3GL,Unix,?,1699
476,1,9,Enhancement,?,?,?,?,?,?,10880
155,?,3,Enhancement,?,?,MF,3GL,Unix,7,1974
169,1.04,?,Enhancement,?,?,?,3GL,?,?,3705
126,?,12,Enhancement,?,Yes,Multi,4GL,Windows,?,1442
50,1.03,?,Enhancement,?,?,MF,4GL,Unix,?,921
98,1.12,17.4,Enhancement,?,No,MF,3GL,Mainframe,6,3271
391,0.99,17,New_Development,Telecommunications,?,?,3GL,?,10,3287
70,1.04,3,Enhancement,Telecommunications,No,PC,4GL,Windows,3,764
84,?,?,Enhancement,?,?,MF,3GL,?,?,1353
777,1,7,Enhancement,?,?,?,?,?,5,3024
201,0.65,8,Enhancement,?,?,MF,3GL,Mainframe,14,3926
1387,?,2.7,New_Development,?,Yes,Multi,4GL,Windows,?,1225
380,0.93,?,Enhancement,?,?,?,?,?,?,2676
12,1.19,2.89,Enhancement,?,?,?,3GL,?,?,96
62,1.02,4,Enhancement,Telecommunications,Yes,PC,4GL,Windows,3,996
525,1,4,Enhancement,?,?,?,?,?,3,306
64,0.98,?,Enhancement,?,?,?,3GL,?,?,620
67,?,3,Enhancement,Telecommunications,?,MR,3GL,Unix,9,1894
29,?,6,New_Development,?,?,PC,3GL,Windows,?,395
103,?,?,Enhancement,?,?,MF,3GL,?,?,1743
578,1,?,New_Development,Banking,?,MF,3GL,Mainframe,?,5134
13,?,?,Enhancement,?,?,MF,3GL,?,?,497
127,1.15,?,Enhancement,?,?,MF,3GL,Unix,?,7451
473,?,2,New_Development,?,?,MR,3GL,Unix,?,2000
201,0.89,7.4,Enhancement,?,No,MF,3GL,Mainframe,7,3804
73,1.18,?,Enhancement,?,?,?,3GL,?,?,3934
15,?,?,Enhancement,?,?,MF,3GL,?,?,559
385,?,?,Enhancement,?,Yes,Multi,4GL,?,?,9865
41,?,?,Enhancement,?,Yes,Multi,3GL,?,?,805
51,1.12,3.62,Enhancement,?,Yes,?,4GL,?,?,536
385,1,7,New_Development,Banking,?,MF,4GL,Mainframe,7,2761
747,1,9,Enhancement,?,?,?,3GL,?,3,3108
124,1,4,New_Development,Banking,?,MF,3GL,Mainframe,2,616
261,1.01,6,Enhancement,Telecommunications,Yes,MR,4GL,Unix,8,2639
527,1.29,?,Enhancement,?,?,?,3GL,?,?,1621
11,?,?,Enhancement,?,Yes,Multi,4GL,?,?,429
254,1,17,New_Development,?,?,?,3GL,?,80,28760
95,?,?,Enhancement,?,?,MF,3GL,?,?,4092
416,1,9,Enhancement,?,?,?,?,?,7,3800
175,1,3,Enhancement,?,?,?,?,?,4,471
1290,?,8,New_Development,Telecommunications,?,?,3GL,?,31,22045
162,1,3,Enhancement,?,?,?,3GL,?,4,1092
262,?,?,Enhancement,?,Yes,Multi,4GL,?,?,5729
99,?,?,Enhancement,?,Yes,Multi,3GL,?,?,1761
31,?,?,Enhancement,?,?,MF,4GL,?,?,543
30,1,2,Enhancement,?,?,?,4GL,?,2,301
79,1,6,New_Development,?,?,?,3GL,?,2,1108
2391,1,5,Enhancement,?,?,?,?,?,9,3889
406,1,?,New_Development,?,?,?,?,?,?,964
2027,1,20,New_Development,?,?,?,?,?,?,28160
3622,?,5,Enhancement,?,?,MF,3GL,Mainframe,?,14573
120,1.12,1.97,Enhancement,?,Yes,?,4GL,?,?,912
50,1.14,?,Enhancement,?,?,MF,3GL,Unix,?,1132
370,?,4.6,Enhancement,?,?,MF,3GL,Mainframe,?,1505
391,1,10,New_Development,?,?,?,?,?,9,3247
144,1.01,3,Enhancement,Telecommunications,?,?,4GL,?,4,742
44,?,?,Enhancement,?,Yes,Multi,3GL,?,?,219
160,1.16,?,Enhancement,?,?,?,3GL,?,?,1479
213,?,?,Enhancement,?,Yes,Multi,3GL,?,?,6391
550,1,7,New_Development,?,?,?,?,?,9,9296
14,0.76,0.62,Enhancement,?,Yes,?,?,?,?,162
161,?,8.4,New_Development,?,?,MF,3GL,Mainframe,?,9808
27,?,0.8,Enhancement,?,?,MF,3GL,Mainframe,?,96
64,1,1,New_Development,Banking,No,MF,3GL,Mainframe,3,1073
75,1.22,?,Enhancement,?,?,MF,4GL,Unix,?,303
82,?,?,Enhancement,?,Yes,Multi,4GL,?,?,1571
96,1.02,5,Enhancement,Telecommunications,?,?,4GL,?,26,6666
3,1.1,0.72,Enhancement,?,Yes,?,4GL,?,?,367
51,1,10,Enhancement,?,?,?,?,?,1,337
82,1.01,3,Enhancement,Telecommunications,?,?,4GL,?,4,410
231,1.07,11.6,Enhancement,?,No,MF,3GL,?,6.3,5079
314,1,?,New_Development,?,?,?,3GL,?,8,1260
476,?,6.9,New_Development,?,Yes,Multi,4GL,Windows,?,64
38,?,?,Enhancement,?,?,MF,3GL,?,?,1359
42,?,?,Enhancement,?,?,MF,3GL,Mainframe,?,882
77,1,3.12,Enhancement,?,Yes,?,?,?,?,378
22,?,?,Enhancement,?,Yes,Multi,4GL,?,?,291
42,?,?,Enhancement,?,?,MF,3GL,?,?,776
157,1.16,5,Enhancement,Telecommunications,?,MR,4GL,Unix,?,1000
165,?,?,Enhancement,?,?,MF,4GL,?,?,1063
51,1.08,1,Enhancement,Telecommunications,Yes,MR,4GL,Unix,?,2828
69,0.9,8,Enhancement,Telecommunications,No,?,3GL,Mainframe,?,984
12,?,?,Enhancement,?,Yes,Multi,4GL,?,?,355
105,1.04,1,Enhancement,Telecommunications,?,PC,4GL,Windows,?,300
70,0.92,0.46,Enhancement,?,?,?,?,?,?,942
124,1.12,10.7,Enhancement,?,No,MF,3GL,?,1.75,1000
142,1,7,Enhancement,?,?,?,3GL,?,7,2744
269,?,?,Enhancement,?,Yes,Multi,4GL,?,?,4045
180,?,29.9,Enhancement,?,?,MF,3GL,Mainframe,9,12272
477,1.09,16,Enhancement,?,No,MF,3GL,?,6,4529
141,?,?,Enhancement,?,?,MF,3GL,?,?,5156
188,0.95,4,New_Development,Telecommunications,?,?,4GL,?,2,776
245,1,11,New_Development,?,?,?,?,?,2,1152
860,1,6,New_Development,?,?,?,?,?,4,2074
116,?,?,Enhancement,?,?,MF,3GL,?,?,2425
73,0.89,5,Enhancement,Telecommunications,?,?,?,?,4,912
480,1,7,New_Development,?,?,?,?,?,3,1042
467,1,2,Enhancement,?,?,?,?,?,4,1192
68,1.03,5,Enhancement,Telecommunications,?,?,4GL,?,1,617
36,?,?,Enhancement,?,Yes,Multi,3GL,?,?,608
3389,1,44,New_Development,?,?,?,?,?,34,73920
109,?,6.3,Enhancement,?,No,MF,3GL,Mainframe,4,4576
10,1.11,1.02,Enhancement,?,Yes,?,?,?,?,23
255,?,?,Enhancement,?,?,MF,3GL,?,?,1282
36,1.15,2.27,Enhancement,?,Yes,?,3GL,?,?,470
885,1,6,Enhancement,?,?,?,?,?,7,1940
119,1.06,7,Enhancement,Telecommunications,?,?,4GL,?,5,2010
19,1.13,4.04,Enhancement,?,Yes,?,3GL,?,?,241
12,1.28,1.71,Enhancement,?,?,?,?,?,?,178
217,0.99,8,Enhancement,Telecommunications,?,?,4GL,?,6,3417
48,1.17,0.95,Enhancement,?,Yes,?,?,?,?,384
214,?,3,Enhancement,Telecommunications,No,?,3GL,Mainframe,?,1430
60,?,?,Enhancement,?,Yes,Multi,3GL,?,?,1349
32,?,?,Enhancement,?,Yes,Multi,3GL,?,?,480
338,1.06,9,New_Development,Telecommunications,Yes,MR,3GL,Unix,30,16770
62,1.17,7,Enhancement,Telecommunications,?,?,4GL,?,22,4428
259,0.96,8,Enhancement,Telecommunications,?,?,?,?,4,2488
1185,1,7,New_Development,?,?,?,3GL,?,20,3822
746,?,5.5,Enhancement,?,Yes,Multi,4GL,Windows,?,2909
143,0.94,9,Enhancement,?,?,?,?,?,17,5506
144,1,5,Enhancement,?,?,?,3GL,?,4,1261
408,1,5,Enhancement,?,?,?,?,?,5,1820
699,1,9,New_Development,?,?,?,?,?,6,3112
2572,1,?,New_Development,?,?,?,?,?,?,11397
116,0.82,3.42,Enhancement,?,?,?,?,?,?,555
67,1.11,3.16,Enhancement,?,?,?,?,?,?,901
49,?,7,Enhancement,?,?,MF,3GL,Mainframe,?,423
82,1.07,?,Enhancement,?,?,?,3GL,?,?,10886
1117,1,15,New_Development,?,?,?,?,?,?,18240
94,1.04,11,Enhancement,Telecommunications,Yes,MR,4GL,Unix,5,1313
154,1.01,10,Enhancement,Telecommunications,?,?,4GL,?,3,582
469,1.16,4,Enhancement,Telecommunications,?,MR,4GL,Unix,8,2778
110,?,?,Enhancement,?,Yes,Multi,4GL,?,?,902
934,1,10,New_Development,?,?,?,?,?,9,5236
177,1,3,New_Development,?,?,?,?,?,2,360
85,0.99,2.1,Enhancement,?,Yes,?,?,?,?,782
135,0.92,2.6,Enhancement,?,?,?,?,?,?,1272
61,1,?,Enhancement,?,?,MF,?,Unix,?,782
44,?,?,Enhancement,?,?,MF,3GL,?,?,1077
40,?,6,Enhancement,?,?,MF,3GL,Mainframe,?,119
210,1.07,3,New_Development,Telecommunications,?,?,?,?,5,1843
91,1.18,?,Enhancement,?,?,?,3GL,?,?,6343
26,?,?,Enhancement,?,?,MF,3GL,?,?,133
9,?,3.55,Enhancement,?,Yes,?,?,?,?,45
609,?,6,New_Development,?,Yes,Multi,4GL,Windows,?,2202
117,1.17,?,Enhancement,?,?,?,3GL,?,?,1287
169,1,3,New_Development,?,?,?,?,?,4,672
77,0.95,6,Enhancement,Telecommunications,?,?,4GL,?,1,812
394,1,6,New_Development,?,?,?,?,?,4,971
473,1,7,New_Development,?,?,?,?,?,5,2982
168,1,5,New_Development,?,?,?,3GL,?,3,1664
7,0.97,0.16,Enhancement,?,?,?,?,?,?,560
64,1.03,2,Enhancement,Telecommunications,?,MR,4GL,Unix,6,2189
182,1.19,?,Enhancement,?,?,MF,3GL,Mainframe,?,547
146,1,6,New_Development,?,?,?,?,?,3,926
725,1.04,8,Enhancement,Telecommunications,?,MR,4GL,Unix,21,8967
102,1.17,1.58,Enhancement,?,Yes,?,4GL,?,?,1445
55,1.08,2.6,Enhancement,?,Yes,?,?,?,?,789
718,1,6,Enhancement,?,?,?,?,?,?,2281
25,?,?,Enhancement,?,Yes,Multi,4GL,?,?,626
53,1,?,Enhancement,?,?,MF,?,Unix,?,159
87,1,?,Enhancement,?,?,?,?,?,?,1652
624,1,7,Enhancement,?,?,?,3GL,?,11,3874
1238,1,3,Enhancement,?,?,?,?,?,7,1960
1632,1,15,New_Development,?,?,?,3GL,?,11,16702
136,?,?,Enhancement,?,Yes,Multi,4GL,?,?,1804
323,1,6,New_Development,?,?,?,?,?,3,1586
607,?,10,Enhancement,Telecommunications,No,PC,3GL,Mainframe,15,3289
75,1.01,5,Enhancement,Telecommunications,?,PC,4GL,?,10,569
214,1.03,4,Enhancement,Telecommunications,?,?,4GL,?,7,1822
105,1.24,?,Enhancement,?,?,?,3GL,?,?,9165
7,1.02,0.46,Enhancement,?,?,?,?,?,?,48
257,1,11,New_Development,?,?,?,3GL,?,2,2027
62,?,?,Enhancement,?,?,MF,3GL,?,?,700
291,?,2.9,Enhancement,?,?,MF,3GL,?,?,8371
989,1,10,New_Development,?,?,?,?,?,?,5968
33,1.13,2.43,Enhancement,?,Yes,?,3GL,?,?,495
346,1,3,Enhancement,?,?,?,3GL,?,3,1507
762,?,2.9,Enhancement,?,?,MF,3GL,Mainframe,30,16613
421,?,?,Enhancement,?,Yes,Multi,4GL,?,?,5086
280,1,4,Enhancement,?,?,?,?,?,?,1100
30,?,?,Enhancement,?,?,MF,3GL,?,?,255
1169,1,9,New_Development,?,?,?,?,?,15,10522
80,?,3,Enhancement,?,?,MF,3GL,Mainframe,?,210
109,1.23,?,Enhancement,?,?,?,3GL,?,?,4814
1986,?,3,Enhancement,?,?,MR,3GL,Unix,?,2258
408,?,8,Enhancement,Telecommunications,Yes,MR,3GL,Unix,19,9075
551,1,10,New_Development,?,?,?,3GL,?,8,6050
159,1,5,New_Development,Banking,?,MF,?,Mainframe,5,3084
17,1.15,1.41,Enhancement,?,Yes,?,3GL,?,?,301
74,1,6,Enhancement,?,?,?,?,?,6,1419
193,0.93,4,New_Development,Telecommunications,?,?,4GL,?,11,5690
3210,1,31,New_Development,?,?,?,4GL,?,40,43300
75,?,4,Enhancement,?,?,MF,3GL,Mainframe,?,496
118,1,8,Enhancement,?,?,?,?,?,5,1603
1064,1,?,New_Development,?,?,?,3GL,?,?,1099
73,1.07,?,Enhancement,?,?,?,3GL,?,?,10106
155,?,?,Enhancement,?,Yes,Multi,3GL,?,?,2209
138,0.94,8,Enhancement,Telecommunications,?,?,3GL,?,6,2988
203,1,5,Enhancement,Banking,No,MF,3GL,Mainframe,?,3219
281,1,5,Enhancement,?,?,?,?,?,2,1608
144,0.87,?,New_Development,Banking,?,MF,3GL,Mainframe,?,513
55,0.82,1.94,Enhancement,?,?,?,?,?,?,95
62,0.98,?,Enhancement,?,?,?,3GL,?,?,2602
777,1,10,Enhancement,?,?,?,3GL,?,9,5180
84,?,?,Enhancement,?,Yes,Multi,4GL,?,?,304
75,?,4.9,Enhancement,?,?,MF,3GL,Mainframe,?,465
117,1,4,Enhancement,Banking,?,MF,3GL,Mainframe,4,1674
266,0.84,?,New_Development,Banking,?,MF,3GL,Mainframe,?,3023
41,?,?,Enhancement,?,Yes,Multi,3GL,?,?,441
18,?,3,Enhancement,?,?,MF,3GL,Mainframe,?,306
4,0.94,0.1,Enhancement,?,?,?,3GL,?,?,38
766,1.11,5,Enhancement,Telecommunications,Yes,MR,4GL,Unix,33,13183
201,?,?,Enhancement,?,Yes,Multi,4GL,?,?,2624
279,0.84,9,Enhancement,Telecommunications,?,?,4GL,?,4,937
289,1.09,12,Enhancement,?,No,MF,3GL,?,5,8150
56,1.02,8,Enhancement,Telecommunications,?,?,3GL,?,8,3030
44,1,3.45,Enhancement,?,Yes,?,?,?,?,173
247,1,6,New_Development,Banking,?,PC,4GL,Windows,7,1757
37,?,?,Enhancement,?,Yes,Multi,3GL,?,?,405
132,1.08,?,Enhancement,?,?,?,3GL,?,?,401
2456,1,?,New_Development,?,?,?,?,?,?,2464
226,?,12.2,Enhancement,?,No,MF,3GL,Mainframe,4,8258
219,1,3,New_Development,?,?,?,?,?,3,510
572,1,20,New_Development,?,?,?,4GL,?,8,13020
211,1,7,New_Development,?,?,?,?,?,5,3136
59,0.93,3,New_Development,Telecommunications,?,?,4GL,?,1,340
85,1.05,5.95,Enhancement,?,?,?,3GL,?,?,497
39,1,7,Enhancement,?,?,?,3GL,?,3,1313
1181,1.01,12,Enhancement,Telecommunications,?,PC,4GL,Windows,?,3006
582,1.04,8,New_Development,Telecommunications,?,?,4GL,?,5,2041
547,?,3,New_Development,?,Yes,MF,4GL,Unix,?,2512
559,1,4,New_Development,?,?,?,3GL,?,4,3020
141,?,2,New_Development,?,No,PC,4GL,Unix,?,299
19,1.19,2.43,Enhancement,?,Yes,?,?,?,?,68
81,1.21,2.93,Enhancement,?,Yes,?,4GL,?,?,1168
985,1,8,Enhancement,?,?,?,?,?,?,3496
326,1,6,New_Development,?,?,?,?,?,6,1234
141,1,4,New_Development,?,?,?,?,?,3,912
93,1.18,?,Enhancement,?,?,?,3GL,?,?,3810
128,1.03,8,New_Development,Telecommunications,?,PC,4GL,Unix,7,1429
126,1.05,9,Enhancement,Telecommunications,?,PC,4GL,Windows,7,1665
389,1.05,?,Enhancement,?,?,MF,3GL,Unix,?,4719
476,1,1,Enhancement,?,?,?,3GL,?,8,5657
57,1.05,?,Enhancement,?,?,MF,3GL,Unix,?,317
675,?,?,Enhancement,?,Yes,Multi,4GL,?,?,11186
332,?,?,Enhancement,?,Yes,Multi,3GL,?,?,7040
1176,1,7,Enhancement,?,?,?,?,?,7,2278
60,1.1,2.73,Enhancement,?,Yes,?,4GL,?,?,1161
144,1.05,?,New_Development,Banking,?,PC,3GL,Windows,?,1035
256,?,?,Enhancement,?,Yes,Multi,3GL,?,?,1231
267,1.07,6,New_Development,Banking,No,MF,4GL,Mainframe,?,1727
7,?,?,Enhancement,?,Yes,Multi,4GL,?,?,232
13,?,?,Enhancement,?,Yes,Multi,4GL,?,?,4
610,?,?,Enhancement,?,Yes,Multi,3GL,?,?,13098
409,0.97,7,New_Development,Telecommunications,No,PC,3GL,Unix,?,8987
79,?,?,Enhancement,?,Yes,Multi,3GL,?,?,2195
264,?,6,Enhancement,?,?,MF,3GL,Mainframe,?,686
413,1,3,New_Development,?,?,?,?,?,4,743
2099,?,5,Enhancement,?,?,MR,3GL,Unix,?,17400
269,?,?,Enhancement,?,?,MF,3GL,?,?,3438
63,0.94,?,Enhancement,?,?,?,3GL,?,?,2391
143,1.01,?,New_Development,Banking,?,MF,3GL,Mainframe,?,4380
258,1.03,8,New_Development,Telecommunications,?,?,3GL,?,23,5657
130,1.02,?,Enhancement,?,?,?,3GL,?,?,5149
27,?,?,Enhancement,?,Yes,Multi,4GL,?,?,436
36,?,1,Enhancement,?,?,MF,3GL,Mainframe,?,129
150,1,?,Enhancement,?,?,?,?,?,?,600
103,0.96,4,New_Development,Telecommunications,?,?,?,?,2,764
151,1.22,?,Enhancement,?,?,MF,4GL,Unix,?,972
96,?,3,New_Development,?,?,MF,3GL,Mainframe,?,4550
82,1.09,?,Enhancement,?,?,MF,3GL,Unix,?,2253
39,?,1.2,Enhancement,?,?,MF,3GL,Mainframe,?,516
79,1.08,?,Enhancement,?,?,?,3GL,?,?,2451
85,1.04,6,Enhancement,Telecommunications,Yes,MR,4GL,Unix,11,2299
21,?,?,Enhancement,?,?,MF,3GL,?,?,269
126,1,2,Enhancement,?,?,?,?,?,2,354
364,1,8,Enhancement,?,?,?,3GL,?,8,3252
50,0.91,5.7,Enhancement,?,No,MF,3GL,?,2,1848
17,?,?,Enhancement,?,?,MF,3GL,?,?,458
36,?,?,Enhancement,?,?,MF,3GL,?,?,408
78,1.03,3.09,Enhancement,?,?,?,?,?,?,950
191,1.16,4,Enhancement,Telecommunications,?,?,4GL,?,9,2952
900,1,4,New_Development,?,?,?,?,?,6,2098
275,1.17,?,Enhancement,?,?,?,?,?,?,1222
63,?,?,Enhancement,?,Yes,Multi,3GL,?,?,2038
1367,1.23,20.38,New_Development,?,?,?,?,?,?,12135
992,?,13,New_Development,?,Yes,Multi,4GL,Windows,?,7800
52,?,?,Enhancement,?,?,MF,3GL,?,?,1486
161,1.03,7,Enhancement,Telecommunications,No,MR,4GL,Unix,10,3137
170,1.07,11.6,Enhancement,?,No,MF,3GL,?,2.5,2289
180,1,1,New_Development,?,?,?,?,?,3,463
60,0.87,3,Enhancement,Telecommunications,Yes,MR,4GL,Unix,?,304
97,1.05,3,Enhancement,Telecommunications,?,?,3GL,?,2,1239
92,?,6,Enhancement,?,?,MF,3GL,Mainframe,?,6022
669,?,?,Enhancement,?,Yes,Multi,4GL,?,?,6814
90,1.13,?,Enhancement,?,?,MF,3GL,Mainframe,?,1077
187,1,2,New_Development,?,?,?,?,?,2,608
72,1.13,2.96,Enhancement,?,?,?,4GL,?,?,452
2212,1,?,New_Development,?,?,?,?,?,?,5051
602,1,2,Enhancement,?,?,?,?,?,6,1368
13,?,6.48,Enhancement,?,Yes,?,?,?,?,207
84,1,3,New_Development,?,?,?,?,?,5,498
84,0.87,6,Enhancement,Telecommunications,?,MR,4GL,Unix,7,1121
428,1.05,8,Enhancement,Telecommunications,?,?,3GL,?,41,19328
656,1,11,Enhancement,?,?,?,?,?,4,1870
475,1.16,13,Enhancement,Telecommunications,?,MR,3GL,Unix,4,2934
198,1.02,?,Enhancement,?,?,?,3GL,?,?,4263
37,0.84,5.1,Enhancement,?,No,MF,3GL,?,1,297
749,1,3,Enhancement,?,?,?,?,?,8,1654
8,0.96,2.43,Enhancement,?,Yes,?,3GL,?,?,54
629,1,7,New_Development,?,?,?,?,?,5,2628
1004,1,12,Enhancement,?,?,?,3GL,?,19,15800
84,?,4,Enhancement,?,?,MF,3GL,Mainframe,?,1078
502,1.24,?,Enhancement,?,?,?,3GL,?,?,21864
51,?,?,Enhancement,?,?,MF,3GL,?,?,948
86,1,?,New_Development,Banking,?,MF,3GL,Mainframe,?,419
65,?,10,Enhancement,Telecommunications,No,MF,4GL,Mainframe,13,2727
269,?,6,Enhancement,?,?,MF,3GL,Mainframe,?,866
461,1.01,10,Enhancement,Telecommunications,?,?,4GL,?,4,1708
470,1,8,New_Development,?,?,?,?,?,?,3712
151,?,12,Enhancement,Telecommunications,?,?,?,?,4,1329
197,?,?,Enhancement,?,Yes,Multi,4GL,?,?,4027
429,1,5,New_Development,?,?,?,?,?,5,2151
128,?,3,Enhancement,?,?,MF,3GL,Mainframe,?,2790
11,?,2.17,Enhancement,?,Yes,?,?,?,?,40
65,0.91,3,New_Development,Telecommunications,?,?,3GL,?,3,682
198,?,6,Enhancement,?,?,MF,3GL,Mainframe,?,629
84,?,?,Enhancement,?,Yes,Multi,3GL,?,?,1888
34,1.02,2.93,Enhancement,?,Yes,?,?,?,?,196
50,?,?,Enhancement,?,?,MF,3GL,?,?,1896
44,1.12,8.9,Enhancement,?,No,MF,3GL,?,2,3392
11,1.08,0.99,Enhancement,?,Yes,?,?,?,?,181
55,?,10.4,Enhancement,?,No,MF,3GL,?,2,1543
155,1,5,Enhancement,?,?,?,?,?,2,476
29,?,?,Enhancement,?,?,MF,3GL,?,?,298
92,1.01,3,Enhancement,Telecommunications,?,?,4GL,?,5,967
60,1.03,2.96,Enhancement,?,?,?,?,?,?,425
201,1,5,Enhancement,?,?,?,?,?,7,2102
796,1.22,14,New_Development,Telecommunications,?,MR,?,Unix,14,5864
78,1.03,1,Enhancement,Telecommunications,?,PC,4GL,Windows,5,89
21,?,?,Enhancement,?,?,?,3GL,?,?,897
113,0.94,7,New_Development,Telecommunications,?,?,4GL,?,4,1357
90,?,?,Enhancement,?,Yes,Multi,3GL,?,?,1702
9,?,1.5,Enhancement,?,?,MF,3GL,Mainframe,?,107
59,1.14,2,Enhancement,Telecommunications,?,?,3GL,?,13,4642
293,1.07,?,Enhancement,?,?,?,3GL,?,?,9270
27,1.13,5.39,Enhancement,?,?,?,4GL,?,?,91
503,1,5,Enhancement,?,?,?,?,?,3,482
310,?,3,Enhancement,?,?,MF,3GL,Windows,15,6160
2131,1.09,7.3,Enhancement,?,No,MF,3GL,Mainframe,4,8640
98,1,7,Enhancement,?,?,?,?,?,2,636
594,?,5,Enhancement,?,Yes,Multi,3GL,Windows,?,6726
141,0.95,8,Enhancement,Telecommunications,?,?,3GL,?,7,2019
47,1.19,2.47,Enhancement,?,?,?,4GL,?,?,384
35,?,?,Enhancement,?,Yes,Multi,4GL,?,?,750
176,1.15,?,Enhancement,?,?,MF,3GL,Unix,?,9662
113,?,3,New_Development,?,Yes,MF,4GL,Unix,?,754
95,0.98,8,Enhancement,Telecommunications,?,MR,3GL,Unix,7,1101
1003,?,12,Enhancement,Telecommunications,?,?,4GL,?,20,15794
18,?,13,Enhancement,?,?,MF,3GL,Mainframe,?,3002
450,1.11,8,Enhancement,Telecommunications,Yes,MR,3GL,Unix,20,7080
270,1.22,?,Enhancement,?,?,?,3GL,?,?,7837
55,1.04,4,Enhancement,Telecommunications,?,?,4GL,?,16,2098
125,1.02,4,Enhancement,Telecommunications,?,PC,4GL,Windows,6,1902
300,?,?,Enhancement,?,?,MF,3GL,?,?,1430
18,1.17,2.6,Enhancement,?,Yes,?,4GL,?,?,864
39,?,?,Enhancement,?,?,?,3GL,?,?,2794
112,1,?,New_Development,Banking,?,MF,3GL,Mainframe,?,1622
140,1.06,3,New_Development,Telecommunications,?,MR,3GL,Unix,10,4141
227,0.93,6,New_Development,Banking,?,MF,3GL,Mainframe,4,1865
893,?,?,Enhancement,?,Yes,Multi,4GL,?,?,7514
641,?,?,Enhancement,?,Yes,Multi,4GL,?,?,20164
40,1.1,?,Enhancement,?,?,?,3GL,?,?,7427
245,1,4,New_Development,?,?,?,?,?,2,268
252,1,4,New_Development,Banking,?,MF,3GL,Mainframe,6,2101
126,1.06,12.4,New_Development,?,No,MF,3GL,Mainframe,8,7760
650,1,13,New_Development,?,?,?,?,?,7,4820
101,1,5,Enhancement,?,?,?,?,?,2,696
939,1,10,New_Development,?,?,?,?,?,?,14880
104,?,?,Enhancement,?,?,MF,3GL,?,?,3442
199,?,2.5,Enhancement,?,Yes,Multi,3GL,Windows,?,1073
219,1,5,New_Development,?,?,?,?,?,7,1219
361,1,6,Enhancement,?,?,?,?,?,3,1848
238,?,?,Enhancement,?,Yes,Multi,4GL,?,?,3701
276,?,?,Enhancement,?,Yes,Multi,4GL,?,?,3307
3,1.11,2.73,Enhancement,?,Yes,?,4GL,?,?,105
128,1.13,17.5,Enhancement,?,?,MF,3GL,Mainframe,0.5,2444
14,?,0.4,Enhancement,?,?,MF,3GL,Mainframe,?,160
111,1.12,?,Enhancement,?,?,?,3GL,?,?,619
99,?,6,Enhancement,?,?,MF,3GL,Mainframe,?,224
156,?,?,Enhancement,?,?,MF,3GL,?,?,1520
82,?,3,Enhancement,Telecommunications,?,?,4GL,?,6,1152
1013,1,6,New_Development,?,?,?,?,?,7,5880
69,0.98,?,Enhancement,?,?,?,3GL,?,?,2726
240,?,?,Enhancement,?,Yes,Multi,4GL,?,?,2131
68,?,1,Enhancement,Telecommunications,No,PC,4GL,Unix,?,143
380,1.02,7,Enhancement,Telecommunications,?,?,4GL,?,7,2811
309,?,5.9,New_Development,?,Yes,Multi,4GL,Windows,?,1575
141,1.18,?,Enhancement,?,?,?,3GL,?,?,3902
876,1.03,11,Enhancement,Telecommunications,?,MR,4GL,Unix,17,6605
275,1,4,Enhancement,?,?,?,?,?,5,931
419,1.12,11,New_Development,Telecommunications,Yes,MR,4GL,Unix,9,3845
374,1,4,New_Development,Banking,No,MF,3GL,Mainframe,11,1838
31,1,5.42,Enhancement,?,Yes,?,?,?,?,99
81,1.01,2,Enhancement,Telecommunications,?,PC,4GL,Windows,1,80
62,?,2,Enhancement,?,No,PC,4GL,Unix,?,1080
76,1.07,5,Enhancement,Telecommunications,?,MR,3GL,Unix,7,2412
150,1,5,Enhancement,?,?,?,?,?,2,446
601,1,8,New_Development,?,?,?,?,?,6,1348
410,1.04,2,Enhancement,Telecommunications,Yes,MR,4GL,Unix,2,646
104,1.17,5,Enhancement,Telecommunications,?,?,?,?,25,6987
6,1.15,0.36,Enhancement,?,Yes,?,3GL,?,?,94
60,1,5,Enhancement,Banking,No,MF,3GL,Mainframe,?,1102
132,1.02,?,Enhancement,?,?,?,3GL,?,?,1543
10,1.17,1.64,Enhancement,?,Yes,?,4GL,?,?,2032
